------ Begin Next Fly'm ------


"Begin Fly'm (Tue May 04 16:05:02 2021)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 10000"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","NO ","NO ","NO ","NO ","YES","YES","NO "


"Ion N","Mass","X","Y","Z","Azm","Elv","Vx","Vy","Vz","KE"
193,28,166.18,143.085,150,90.24,-0.417654,-0.110429,-0.192178,-26.3632,100.854
194,28,164.533,134.998,150,90.2281,0.875161,-0.104978,0.402796,-26.3683,100.911
195,28,162.285,141.57,150,89.8753,-0.176737,0.0573808,-0.0813318,-26.3666,100.875
196,28,160.843,142.483,150,89.3641,-0.724257,0.292608,-0.333267,-26.3617,100.864
197,28,166.838,142.991,150,90.404,-0.545518,-0.185882,-0.251001,-26.3612,100.846
198,28,162.743,142.883,150,89.409,-1.135,0.271936,-0.522298,-26.3611,100.881
199,28,167.588,142.371,150,90.4872,-0.485053,-0.22416,-0.223183,-26.3614,100.848
200,28,162.412,136.174,150,89.4044,0.9012,0.274069,0.414699,-26.3618,100.872
201,28,166.191,143.387,150,90.4335,-0.740475,-0.199453,-0.340733,-26.3627,100.866
202,28,160.98,138.694,150,89.7643,0.0846201,0.108473,0.0389437,-26.3683,100.888
203,28,159.284,140.15,150,89.5304,-0.0699535,0.216129,-0.0321966,-26.3699,100.905
204,28,159.139,140.352,150,89.0283,-0.339286,0.447196,-0.156149,-26.365,100.894
205,28,165.781,135.732,150,90.3034,0.545156,-0.139622,0.250855,-26.3636,100.862
206,28,167.971,141.819,150,90.4525,-0.342802,-0.208205,-0.157739,-26.3633,100.857
207,28,168.823,140.065,150,90.4968,-0.0575814,-0.228664,-0.0265038,-26.3714,100.917
208,28,165.944,140.532,150,90.1316,-0.0842858,-0.0605461,-0.038792,-26.3699,100.899
209,28,160.151,141.314,150,89.0864,-0.682007,0.420373,-0.313836,-26.361,100.87
210,28,159.228,139.477,150,88.9953,0.309033,0.462379,0.142224,-26.3645,100.891
211,28,161.923,143.517,150,89.6876,-0.589029,0.143748,-0.271034,-26.3626,100.856
212,28,161.949,136.162,150,89.7312,0.418846,0.123691,0.192726,-26.363,100.853
